locality,country,stateprovince,county,uuid
"wawona, yosemite national park",united states,california,mariposa county,5eff21d6-d85c-4014-a8a1-b8bb9980fa70
"cleve creek, schell creek range",united states,nevada,white pine county,858b8c22-05fb-4f8b-842e-4537a92177d9
lynchburg,united states,california,placer county,564b235a-2e6c-402a-9c72-464e30ad7b51
"clough cave, s fork kaweah river",united states,california,tulare county,3cd6c1f4-35ce-4609-b27d-04cfcf1aca2c
"1 mi sw head of chokecherry creek, snake range",united states,nevada,white pine county,076c3dff-1eaf-4ef0-beb5-d798cdafcc09
spring creek,united states,colorado,montrose county,2b34b030-809d-4cf1-9f24-31a09f74e264
s lower government springs road,united states,colorado,montrose county,aa8a5263-952c-4aab-8f5f-301511f38cd4
n of mouth mckenzie creek,united states,colorado,ouray county,4c014243-b866-477f-80ce-e515b9f1b32c
n/a,united states,florida,marion,e8bccf38-3f52-4130-8455-1c8daabc8146
happy canyon,united states,colorado,montrose county,8ca9bf98-35c8-48aa-97c2-3ed45264f398
shavano mesa,united states,colorado,montrose county,d2b41713-f0e7-4187-99f3-ea6622c2b2d1
upper mckenzie creek,united states,colorado,ouray county,cfb7623b-523f-4605-9d28-6879fbad4556
"utm, nad 27, 424618e, 5425792n, north of kettle falls, stevens co, washington,",united states,washington,stevens,1413b32e-8390-4619-a933-117ca9ca0c07
"utm, nad 27, 432 520 e, 5 421 300 n, stevens co., wa",united states,washington,stevens,f0b2e570-6208-4600-a9ab-7d58af6df1ff
ranquil,chile,la araucanía,malleco,e9c2ad04-14be-4176-bfaf-281781ec67ba
"clough cave, s fork kaweah river",united states,california,tulare county,fbd61bda-27cb-4c35-9d29-d72820f69bd9
13 km sw zona arqueológica bonampak lacanja chansayab,mexico,chiapas,ocosingo,72bab988-856b-4799-8849-460cd7ccdf43
piute mts; head of bodfish creek,united states,california,kern,63aefb24-c7b9-4a48-90bd-9eaca84bb428
"scodie / kaviah mt., e of onyx",united states,california,kern county,dc0a294a-eaa2-4e29-aab4-ec5c40d8d255
ca. 5 mi e dorrington,united states,california,calaveras county,b7166790-f0b6-4f6a-a031-90aa96b5d24f
"playa careyitos, 10 km sw chamela",mexico,jalisco,la huerta,b0db5397-1c5d-4deb-8fb9-7b2dde2595e1
"sierra ladrones, canon del alamito",united states,new mexico,socorro county,ef273077-5cef-4fd4-b6ff-4ac6a78aca15
"7.1 mi. e, 17.6 mi. n silver city, lake roberts",united states,new mexico,grant county,ce04a61d-ec06-4639-a1ff-b438dd971558
"white sands missile range, vicinity of mineral hill",united states,new mexico,dona ana county,36de0ab2-dfa5-4556-a104-ced17852ced9
40 mi sw animas mountains,united states,new mexico,hidalgo,a92d2805-4bfb-4ba6-9e0c-40ca950dca25
nine mile canyon,united states,california,kern,93e8bb96-4a26-4822-a892-74340ce948f7
2 mi sw laguna indian resevation,united states,california,san diego county,cd43c84a-1295-47a2-8f2e-c9b6f0ff9fce
cedar city,united states,utah,iron county,759c151a-948e-4854-91ef-cb027eae1975
fiddler's canyon,united states,utah,iron county,6d185632-2e2f-4f7b-a15f-1b00eb477a06
fiddler's canyon,united states,utah,iron county,ef459297-47f3-4077-b0a3-47d04e584dd7
san miguel canyon,united states,colorado,montrose county,9abe8355-7703-49fb-a5bb-67864df77ffa
healy creek,canada,alberta,census division 15,e48890ff-a037-4b49-b964-7e9172214b33
horsefly creek,united states,colorado,ouray county,ad15ca0e-5a43-49ef-927e-5550a77a28f0
s slope san miguel river,united states,colorado,montrose county,da649429-ffc8-46a4-8989-83be588e5aae
w dry park mesa,united states,colorado,montrose county,192636c3-4adc-45cd-aaad-75f02657ae05
"private property tuttle draw, mule deer kill/cache",united states,colorado,montrose county,5639fabc-8b75-4b56-8ec6-003cf6bc0590
roubideau creek,united states,colorado,delta county,abb3ec93-5ef1-45f7-ba76-ce0ace24cb05
imnaha,united states,oregon,wallowa,10a03b0a-c9ac-42bb-95b1-f0de80824452
"rancho las margaritas, 28 mi. s and 17 mi. w vicente guerrero",mexico,durango,,bff0f8d7-3ad8-4d51-897b-0dce80bc82ca
sespe creek,united states,california,ventura county,7c773d5f-a1c4-463c-8b1f-cfb8a606c4c1
drytown,united states,california,amador county,5835dabd-ea41-4730-8120-d76fc6359623
n fork orestimba creek,united states,california,stanislaus county,335453cd-0479-4db0-af49-83d0df3b2902
"ca 10 mi n, 1 mi e panther junction, pitcock rosillos ranch, rosillos mountains",united states,texas,brewster,e5676345-cb07-4e18-a124-750903747918
cove cr.falls,united states,arizona,cochise,57501e2b-60f5-4540-ba19-930b714c392e
"san andreas national wildlife refuge, san andreas mountains; bear canyon",united states,new mexico,dona ana county,bcf62f2d-eca3-4e37-89dd-85d245173c54
"rancho general villanueva, 60 mi e ciudad victoria",mexico,tamaulipas,victoria,7a4cfef6-3236-4db0-9e62-1820bb1c9c07
west of evergreen,united states,colorado,jefferson county,39a35444-2f97-4422-8254-0ade02030347
chisos mts.,united states,texas,brewster county,19fa5ced-36da-4ff3-a9f9-f4a929ccde67
33 mi ne green river,united states,utah,grand county,4d7b4b90-1002-4889-92e2-caee69dd20ac
chalk creek canyon,united states,utah,millard county,52a5dc90-38f7-4ae2-a99a-e47b2a19e6e1
uncompahgre river,united states,colorado,ouray county,0c8b47e7-5ea8-4941-a225-b5ee18ea2e90
lower happy canyon elk farm,united states,colorado,montrose county,d1b776e3-e00d-4ed8-830d-93f94dfd282a
hwy 550 mile marker #115,united states,colorado,ouray county,6da36cc2-9c3e-48e1-9cd6-35f5969ad5d4
telephone draw,united states,colorado,montrose county,7d28c718-ec56-496f-90f5-781e00ef6dff
"forks burn, calawah",united states,washington,clallam,24fa75dc-5b96-46a4-bce5-d6582e56df4f
near ridgway state park,united states,colorado,ouray county,6528660f-2f84-4ffa-a2b6-79aea3ce51b2
"4 mi s fremont peak, ca. 14 mi from hollister",united states,california,monterey county,f84f483c-b52f-409b-a050-8577978ca8bf
la candela,colombia,huila,san agustin,4193a2d1-6bd6-438c-a1ee-2fe3850ec6c0
"3 mi ne wawona, yosemite national park",united states,california,mariposa county,aa96351a-6885-41de-977a-9d58b1d5fe1d
"cold creek, ruby mts.",united states,nevada,elko county,6c8cf0fb-f39e-4180-becf-36280d4979d4
cayo,belize,,,0c88e683-78d5-4ca0-9580-3d546cc2fe4c
"near head shoe canyon ca. 12 mi s paradise, chiricahua mts.",united states,arizona,cochise county,741c9c95-c9ad-48ad-b895-f66727f79377
ca. 2 mi s lumberyard ranger station,united states,california,amador county,84108e44-1206-4f1e-a54d-e1a21afee321
"clough cave, s fork kaweah river",united states,california,tulare county,7f107b5d-7215-48b9-9dc4-799afc7ae2f7
"strawberry creek, 0.5 mi n control road to hemet lake",united states,california,riverside county,49913d10-92ff-48b2-b3c7-dcfae3faf855
ca. 5 mi w uncle tom's cabin,united states,california,el dorado county,9c030332-705a-47a9-acb6-7ccc498c57cf
"clough cave, s fork kaweah river",united states,california,tulare county,9eb2e82c-b9dc-4656-9cf6-9c88aae50b8c
"5 mi w denmovin, tunawee canyon",united states,california,inyo county,e93a466f-1791-4f2b-b764-52308f0f1452
"hathaway ranch, 7 mi ne nogales",united states,arizona,santa cruz county,bfdab844-ed99-45f7-83e5-6d5397917f51
"bassett creek, schell creek range",united states,nevada,white pine county,d9e5edc4-f9d7-4c8b-a5c0-80dd9cbb9358
3 mi n stage station,united states,california,mariposa county,dc72ab98-f311-4e14-b493-663fb70d123f
helena,united states,california,trinity county,d57e988a-2781-4b2a-812b-5bfe7092b8be
reagan canyon,united states,texas,brewster,545a580f-02c7-47be-9998-a0a2bb8ef180
hacienda atotonilco,mexico,durango,,551423b2-64e8-46b2-a836-ca5cd97f5bb1
rosillos mts.,united states,texas,brewster,07dac4ad-76a1-4164-863f-f04f5308dcc1
airplane flat (near cache park),united states,california,kern,8e5d46e3-3cf1-4ed9-8acb-8eafdb98e019
nine mile canyon; little lake,united states,california,kern,16c5e8d3-ff27-4767-ba09-64f867bd71d1
"san andres wildlife refuge; san andres mountains; mayberry canyon; ca 22 mi. w, 1 mi. n white sands national wildlife refuge",united states,new mexico,dona ana county,7e034595-0fb4-40ab-bd9d-157474c55ef8
san miguel canyon,united states,colorado,montrose county,cde4fb79-acfa-4f66-b54e-9016e569f5a2
e of county rd 1,united states,colorado,ouray county,788a38f9-6c64-489d-9bf4-9f2a4ce427ed
"rio mayo,los tanques",mexico,sonora,,8c6c3613-f388-47c6-908a-884bbe27dfc2
sierra diablo wma,united states,texas,culberson,2c47512c-e221-4595-aa6e-1209b14b44e2
"s.fork eel river,6mi s bloody rock",united states,california,lake,2a23632f-43ff-4cad-8048-b2caa2b5a679
1 mi n squaw creek ranger station,united states,california,shasta county,48a2bd67-c474-4951-9e4e-69ab9a3f51ca
"dark canyon, 5 mi n dunlap",united states,california,fresno county,4d5f3778-cebc-4ad5-a09f-5f911551daaa
40 mi sw animas mountains,united states,new mexico,hidalgo,2c95b12d-852f-483c-9582-0dca98e164d4
"utm, nad 27, 417 714 e, 5 409 224 n, stevens co., wa",united states,washington,stevens,a2128579-b7ca-478c-b833-3a3553336216
minnie maud canyon,united states,utah,carbon county,e4fef290-865f-4830-aa9a-a2f0c3298bfe
fiddler's canyon,united states,utah,iron county,dde62380-8c16-4287-b304-28ce59507d73
"sierra ladrones, canyon del alamito",united states,new mexico,socorro county,c8e7073a-3f0c-4730-9bb3-2cb29feceeb1
sw edge lake olomega,el salvador,san miguel,,82b88cde-4fd3-4f72-ae15-dad9476a4657
hastings natural history reservation,united states,california,monterey county,84a18ea0-9be6-4c23-b2f9-ffe17bec6be7
5 mi n dunlap,united states,california,fresno county,55851888-7f40-4200-9220-4f577e95ba91
mt. ranch,united states,california,calaveras county,77f9161d-5844-4251-ad56-63087c630e01
2 mi w laguna indian reservation,united states,california,san diego county,418832e4-2964-4033-9bbf-3f131aaf49d6
2 mi w laguna indian reservation,united states,california,san diego county,a2de0453-af9d-42de-9c68-9ba16a90ad35
"head brush creek, 25 mi above kernville, e side kern river",united states,california,tulare county,2d11e60d-f434-4841-9c10-38919376b50f
mckenzie creek,united states,colorado,ouray county,11eff5d1-5e00-4346-96b6-e3a400eab50b
dry creek,united states,colorado,montrose county,72c4e360-ba36-4fd4-99f8-42138ea823ed
,zoo,,,d928e7c4-11db-48b4-9428-41a09a7bed64
upper cottonwood creek,united states,colorado,montrose county,2fbbbb2d-3901-47f4-b536-8e81dc0e1840
lower happy canyon elk farm,united states,colorado,montrose county,ef974d9c-cfba-4811-ab93-386034ef19b4
"reagon canyon, near rio grande river",united states,texas,brewster,35594ed2-7c64-45ad-af94-99d9e4a1e8d4
2 mi s sugar pine ranger station,united states,california,placer county,11846155-4b3e-4ef4-886c-9599db178e9c
el terrero,mexico,colima,,2dae6610-7c63-4c8f-9103-3674e1e0cf19
"mineral mountains, on road to milford",united states,utah,beaver county,9d7445d4-0c76-4bd8-b455-abba0e7ed7a4
"san felipe ranch, 13.3 mi se san jose",united states,california,santa clara county,7012aee2-0d11-44ed-bad0-2c02e9ae72e4
"clough cave, s fork kaweah river",united states,california,tulare county,6123c086-dafd-49c3-b06b-69262c7dbeb0
chisos mts.,united states,texas,brewster county,66ebfc8f-cabc-41bd-b975-9a1aff2af4f3
lynchburg,united states,california,placer county,0e2a3e5d-d0a7-4a0a-bc71-40a1046b2574
black gap wildlife mgt area,united states,texas,brewster,89a8a89b-e332-4e40-b66d-7b70b57d2ff7
forks,united states,washington,clallam,0e005923-680d-4bb2-9d57-cc32fce0a1b8
dry creek,united states,colorado,montrose county,4869d84d-fa73-4f74-a19f-b4354a615c90
brown ranch,united states,colorado,san miguel county,7966250b-9741-4127-9145-d2d9ab91d165
san miguel canyon,united states,colorado,san miguel county,6b55b4e8-dcde-451d-be06-b63135a09104
e fork dry creek,united states,colorado,montrose county,e1907d2c-5dfa-40f0-ad63-21ffe53ddc3e
bear pen gulch,united states,colorado,montrose county,9bbe536f-c841-4224-a562-d151397dc58e
sebastian,united states,florida,brevard,fd901cd6-1b86-4fc5-8903-f1e2e79f173f
"boulder creek, west of ormand peak",united states,utah,garfield county,c9b570f1-8c5c-4b50-8122-18d9551d9357
fiddler's canyon,united states,utah,iron county,d4ad3361-a91a-4871-939d-f221e967db02
sulphur canyon,united states,utah,carbon county,4ff5b60c-2148-44a0-8d2b-71e7dc837ae4
"douglas spring, 6700'",united states,colorado,moffat county,8281e07f-f2b1-4749-927c-165d1f875ed2
"cleve creek, schell creek range",united states,nevada,white pine county,00a40820-94d7-4867-b29e-9fac249ebbf9
tranicura,chile,la araucanía,los sauces,7e778597-fc19-4fb3-99d9-a210d533211d
potts,united states,nevada,nye county,a95f4d08-c7cf-4fff-94c6-04756fea38b2
"8.5 mi se mt. hamilton, 2.25 mi s, 1 mi e round mt., mt. hamilton range",united states,california,santa clara county,91155381-f052-4f9f-933c-f7dfc95c8ddd
"wawona, yosemite national park",united states,california,mariposa county,92c3f16a-7ff9-4c88-9353-298669898f4e
selway national forest,united states,idaho,idaho county,e6d4d1b9-79ee-4975-9da7-0485a7fb19a5
uaxactun,guatemala,petén,,5a0a8d0e-6fd3-4963-8daa-e44b7f5cf2e9
roubideau canyon,united states,colorado,montrose county,42e2cb40-63f1-40ba-b3a2-c71a80d19296
logging camp draw,united states,colorado,montrose county,7a568a26-e3ff-48b0-9ff8-b691b416ec37
horsefly creek,united states,colorado,ouray county,da0f6cdd-6a62-4c8b-b16f-46753e8b47f9
mckenzie butte,united states,colorado,ouray county,fef5591b-5714-4728-a57d-6dfb12ae483a
"black mt., schell creek range",united states,nevada,white pine county,39b2e214-2384-4c1e-a566-4b99d3221dcf
estancia laguna pora de la colonia fernheim,paraguay,presidente hayes,,df696e8f-d01e-4cd4-81b1-f93355452392
"maple creek, 3 mi s big lagoon",united states,california,humboldt county,07b9625d-d49e-4670-8edf-cd5735b5d4c2
12 mi se austin,united states,nevada,lander county,105afe14-8896-46cc-bc9a-6f50c3ab24eb
olympic mts,united states,washington,,901efb09-d016-410c-9671-be8f6e80baee
"santa barbara, 20 mi n (approx.); el capitan ranch",united states,california,santa barbara,69fb80cd-ece3-4c3d-b03a-d04be29a14ba
rincon de osa,costa rica,puntarenas,,a9e0b2d8-b09d-411d-b387-7dc48d11c2e3
cow canyon,united states,utah,carbon county,71fceff8-94f3-4f39-9249-3412838d77d4
"wawona, yosemite national park",united states,california,mariposa county,987acfd9-9b4d-4ba8-a7c6-639bb3fb51a1
niagara creek,united states,oregon,tillamook county,4870f73f-b5a9-4f37-b1e1-7ff549c6f4e3
11 mi. se las nieves,mexico,durango,,2069015b-8c86-47aa-a2c8-23c3b8ae6377
"san pedro de la sierra 6 km. s, 4.8 km. w, mulegé",mexico,baja california sur,mulege,72ac721a-9f45-45cf-9dff-8d9e5a1e4237
4 mi se uncle tom's cabin,united states,california,el dorado county,f5fbcf5f-8715-4115-932a-d591253b7d90
"mount duida, playa del rio base",venezuela,amazonas,atabapo,88ef6be1-7b2c-46c6-a0b5-7096d50777d5
