locality,country,stateprovince,county,latitude,longitude,correction status,precision,error polygon,multiple results,uuid
"stillwater creek, e of redding municipal airport",united states,california,shasta county,40.519928,-122.28716,no,Low(64),,"40.519928,-122.28716,REDDING MUNICIPAL AIRPORT->snapped to Stillwater Creek|Unavailable|Unavailable|Low(64),40.465613,-122.24862,STILLWATER CREEK->snapped to Stillwater Creek|Unavailable|Unavailable|Low(58),40.600882,-122.312857,REDDING->snapped to Stillwater Creek|CA:ppl:2394@PPL@4.25232678587603@76.498218125588|Unavailable|Low(41)",adfaaf2b-3b1a-4eb5-934a-bbec8eb0e8e8
"metaline falls, pend oreille co., washington",united states,washington,pend oreille,48.532318,-117.273998,no,Low(50),,"48.532318,-117.273998,PEND OREILLE COUNTY|WA:cnty:53051@CNTYCNTR|Unavailable|Low(50),48.532299,-117.273973,PEND OREILLE COUNTY|Unavailable|Unavailable|Low(49),48.863809,-117.372467,METALINE FALLS|WA:ppl:23802@PPL|Unavailable|Low(45),48.850475,-117.3908,METALINE|WA:ppl:23801@PPL|Unavailable|Low(39)",1b97b8e3-4131-4e11-84d0-417c1b558bf2
shingletown,united states,california,shasta county,40.492378,-121.889159,no,High(87),,"40.492378,-121.889159,SHINGLETOWN|CA:ppl:2506@PPL|Unavailable|High(87)",70af71be-380c-4fcf-a447-9b24fb4d1a7d
"fool creek area, wildhorse canyon.",united states,utah,millard,39.469797,-112.324448,no,Low(52),,"39.469797,-112.324448,FOOL CREEK->snapped to Fool Creek|Unavailable|Unavailable|Low(52),39.469827,-112.324525,WILDHORSE CANYON->snapped to Fool Creek|Unavailable|Unavailable|Low(49),39.449096,-112.275952,FOOL CREEK->snapped to Fool Creek|Unavailable|Unavailable|Low(46),39.469827,-112.324525,HORSE CANYON->snapped to Fool Creek|Unavailable|Unavailable|Low(32)",0515ef33-c7b7-469e-a63c-240c7a604448
"2 mi e colt flat, coyote creek",united states,california,santa clara county,37.375508,-121.890342,no,Medium(69),,"37.375508,-121.890342,(g1)Coyote Creek->snapped to Coyote Creek|Unavailable|Unavailable|Medium(69),37.218143,-121.739684,At COYOTE->snapped to Coyote Creek|Unavailable|Unavailable|Medium(63)",3eb9b98b-8a3d-4433-b88b-2544f3135b09
teniente ochoa,paraguay,boquer?n,,-21.7,-61.033333,no,High(89),,"-21.7,-61.033333,TENIENTE OCHOA|Unavailable|Unavailable|High(89),-21.704722,-61.014722,TENIENTE|Unavailable|Unavailable|Low(38),-21.772778,-60.945833,OCHOA|Unavailable|Unavailable|Low(35)",3440902a-590e-4f44-828c-8f357bf31ee4
stone corral,united states,california,ventura,34.563323,-118.909265,no,High(87),,"34.563323,-118.909265,STONE CORRAL|Unavailable|Unavailable|High(87)",1bbeb428-6dea-430b-b807-37a127c53e51
"cottonwood, whitmore rd.",united states,california,shasta county,40.385709,-122.280836,no,Low(41),,"40.385709,-122.280836,COTTONWOOD|CA:ppl:1820@PPL|Unavailable|Low(41),40.629322,-121.916661,WHITMORE|Unavailable|Unavailable|Low(38)",8b9ef99d-050e-44cf-a97f-de289e59e63b
"9524 lilla lane, palo cedro",united states,california,shasta county,40.563763,-122.238892,no,Low(41),,"40.563763,-122.238892,PALO CEDRO|CA:ppl:2326@PPL|Unavailable|Low(41)",72a650c0-b2f7-4754-bf6c-d676ff4ea7d5
km 589; copagro,paraguay,boquer?n,,-21.566667,-61.1,no,Low(37),,"-21.566667,-61.1,COPAGRO|Unavailable|Unavailable|Low(37)",6b43ede2-a91f-4262-84ea-0f3c615c18dd
"feser cold springs, hwy 33",united states,california,ventura,40.987222,-120.245833,no,Medium(56),,"40.987222,-120.245833,(g1)Cold Spring|Unavailable|Unavailable|Medium(56),38.741847,-120.870215,COLD SPRINGS|Unavailable|Unavailable|Low(42),40.512093,-122.788075,COLD SPRINGS|Unavailable|Unavailable|Low(42),38.75306,-122.824079,COLD SPRINGS|Unavailable|Unavailable|Low(42),41.739868,-122.330295,COLD SPRING|Unavailable|Unavailable|Low(28),41.590709,-121.964449,COLD SPRING|Unavailable|Unavailable|Low(28),41.07382,-122.198731,COLD SPRING|Unavailable|Unavailable|Low(28),41.781874,-120.31021,COLD SPRING|Unavailable|Unavailable|Low(28),34.706653,-119.84625,COLD SPRING|Unavailable|Unavailable|Low(28),41.22484,-123.339571,COLD SPRING|Unavailable|Unavailable|Low(28),41.202487,-120.14151,COLD SPRING|Unavailable|Unavailable|Low(28),41.07375,-123.112539,COLD SPRING|Unavailable|Unavailable|Low(28),39.101495,-122.494648,COLD SPRING|Unavailable|Unavailable|Low(28),39.7121,-123.048617,COLD SPRING|Unavailable|Unavailable|Low(28),35.808284,-118.582865,COLD SPRING|Unavailable|Unavailable|Low(28),39.030457,-123.522511,COLD SPRING|Unavailable|Unavailable|Low(28),40.958475,-122.948364,COLD SPRING|Unavailable|Unavailable|Low(28),38.619073,-122.502758,COLD SPRING|Unavailable|Unavailable|Low(28),38.929616,-122.252472,COLD SPRING|Unavailable|Unavailable|Low(28),39.954043,-122.743613,COLD SPRING|Unavailable|Unavailable|Low(28),39.753211,-122.897224,COLD SPRING|Unavailable|Unavailable|Low(28),39.612101,-122.784998,COLD SPRING|Unavailable|Unavailable|Low(28),40.051327,-121.674949,COLD SPRING|Unavailable|Unavailable|Low(28),40.588538,-123.618888,COLD SPRING|Unavailable|Unavailable|Low(28),40.559601,-121.305846,COLD SPRING|Unavailable|Unavailable|Low(28),40.520289,-123.406052,COLD SPRING|Unavailable|Unavailable|Low(28),39.278516,-122.701662,COLD SPRING|Unavailable|Unavailable|Low(28),35.957905,-120.293125,COLD SPRING|Unavailable|Unavailable|Low(28),41.030982,-122.47696,COLD SPRING|Unavailable|Unavailable|Low(28),35.143851,-120.414188,COLD SPRING|Unavailable|Unavailable|Low(28),40.834041,-123.713184,COLD SPRING|Unavailable|Unavailable|Low(28),38.941176,-120.41894,COLD SPRING|Unavailable|Unavailable|Low(28),37.471995,-119.742547,COLD SPRING|Unavailable|Unavailable|Low(28),34.521383,-119.84014,COLD SPRING|Unavailable|Unavailable|Low(28)",87d2e34c-564f-42dd-93b5-2a0a25cf0ffa
"12400 arrow way, whitmore",united states,california,shasta county,40.629322,-121.916661,no,Low(38),,"40.629322,-121.916661,WHITMORE|Unavailable|Unavailable|Low(38)",45e32c30-7c36-4ffe-91ef-d5c8b519a2b4
"rice and connor's creek, head of big river",united states,california,mendocino county,39.294936,-123.747412,no,Low(42),,"39.294936,-123.747412,BIG RIVER->snapped to Big River|Unavailable|Unavailable|Low(42)",264ae742-0c3e-4bb7-a5da-8d36a02bf305
"20 mi n picacho, colorado river",united states,arizona,yuma county,32.851392,-114.455502,no,High(94),,"32.851392,-114.455502,Distance North of PICACHO COLORADO->snapped to Colorado River|Unavailable|Unavailable|High(94),32.850499,-114.455584,Distance North of PICACHO->snapped to Colorado River|Unavailable|Unavailable|High(85),32.851392,-114.455502,Distance North of PICACHO->snapped to Colorado River|Unavailable|Unavailable|High(85)",047f73fd-23c1-4a15-843f-1f527ddb0a66
"umarituba, negro river, caiary - vaupes, tatu",brazil,amazonas,sao gabriel do cachoeira,0.066667,-67.25,no,Low(39),,"0.066667,-67.25,UMARITUBA|Unavailable|Unavailable|Low(39),-0.35,-66.55,UMARITUBA|Unavailable|Unavailable|Low(39),1.783333,-67.366667,UMARITUBA|Unavailable|Unavailable|Low(39),-6.591667,-62.398889,CAIARY|Unavailable|Unavailable|Low(36)",d9de8eba-312a-4317-af13-80eb5d98cced
"criswell creek canyon, 20 miles sw of delta",united states,colorado,montrose county,38.578651,-108.177844,no,Low(56),,"38.578651,-108.177844,CRISWELL CREEK->snapped to Criswell Creek|Unavailable|Unavailable|Low(56)",ee68ffc1-a9b9-4757-8aa8-f335907aa904
"bruff creek, nw of gardner",united states,colorado,huerfano county,37.831009,-105.307199,no,Low(53),,"37.831009,-105.307199,BRUFF CREEK->snapped to Bruff Creek|Unavailable|Unavailable|Low(53),37.831109,-105.306795,GARDNER->snapped to Bruff Creek|Unavailable|Unavailable|Low(37)",f0273f6a-0801-4d79-854e-c530cb0bf9cf
"elk creek, about 20 miles nw of glenwood springs",united states,colorado,garfield county,39.752725,-107.588399,no,High(92),,"39.752725,-107.588399,Distance NorthWest of GLENWOOD SPRINGS|CO:ppl:2833@SPRING@20@315|Unavailable|High(92),39.755224,-107.590631,Distance NorthWest of GLENWOOD SPRINGS|CO:ppl:2833@PPL@20@315|Unavailable|High(92),39.552782,-107.319122,(g1)Glenwood Springs|Unavailable|Unavailable|Medium(61),39.583036,-107.553667,ELK CREEK|Unavailable|Unavailable|Low(39)",e479457d-c56a-46f0-a226-29907c96fc40
"madeira river, auara igarape",brazil,amazonas,borba,-3.486389,-42.5075,no,Low(37),,"-3.486389,-42.5075,MADEIRA|Unavailable|Unavailable|Low(37),-7.6,-36,MADEIRA|Unavailable|Unavailable|Low(37),-10.333333,-65.333333,MADEIRA|Unavailable|Unavailable|Low(37),-20.067173,-44.298357,IGARAPE|Unavailable|Unavailable|Low(37),-4.286657,-42.988257,MA",8b6b8e98-03b6-426a-abeb-4ee3c3d198cb
"coon creek canyon, 13 miles n of durango",united states,colorado,la plata county,37.433444,-107.795246,no,High(83),,"37.433444,-107.795246,Distance North of DURANGO->snapped to Coon Creek|CO:ppl:2787@PPL@11.8792118591181@23.0631577926566|Unavailable|High(83),37.433461,-107.795118,COON CREEK->snapped to Coon Creek|Unavailable|Unavailable|Low(52)",72e39d8c-fe5e-48d8-b294-0bcac9b40758
"near power plant on east rifle creek, 12 miles from rifle",united states,colorado,garfield county,39.626219,-107.760243,no,Low(58),,"39.626219,-107.760243,EAST RIFLE CREEK->snapped to Rifle Creek|Unavailable|Unavailable|Low(58),39.53015,-107.788695,RIFLE CREEK->snapped to Rifle Creek|Unavailable|Unavailable|Low(53),39.534706,-107.78559,RIFLE->snapped to Rifle Creek|CO:ppl:2970@PPL@0.131630975529595@-89.8879375184798|Unavailable|Low(48)",25833be0-46bf-47a9-8ccb-520eaec44315
region west of sebastian,united states,florida,brevard,27.816796,-80.4677,no,Medium(54),,"27.816796,-80.4677,(g1)Sebastian|Unavailable|Unavailable|Medium(54),27.816415,-80.470608,SEBASTIAN|FL:ppl:3953@PPL|Unavailable|Low(40)",91c7e6d2-8309-412f-82ea-c95f178cbc4a
arrow lake region,canada,british columbia,north okanagan regional district,48.166667,-90.25,no,Low(41),,"48.166667,-90.25,ARROW LAKE|CAN:water:451@LK|Unavailable|Low(41),51.833056,-100.9925,ARROW LAKE|Unavailable|Unavailable|Low(40),64.916932,-115.284741,ARROW LAKE|Unavailable|Unavailable|Low(40),54.583333,-89.583333,ARROW LAKE|Unavailable|Unavailable|Low(40),50.679722,-100.71944,ARROW LAKE|Unavailable|Unavailable|Low(40),55.825556,-101.23639,ARROW LAKE|Unavailable|Unavailable|Low(40),44.76979,-77.88318,LAKE|Unavailable|Unavailable|Low(34),44.716667,-77.760556,LAKE|Unavailable|Unavailable|Low(34),48.268068,-79.653644,ROW LAKE|Unavailable|Unavailable|Low(25)",4d69e42f-c1d7-4f94-bdc4-1d1a0c5b520b
lake okeechobee,united states,florida,okeechobee,27.175332,-80.803219,no,Medium(60),,"27.175332,-80.803219,(g1)Lake Okeechobee|Unavailable|Unavailable|Medium(60),26.771389,-80.927778,(g1)Lake Okeechobee|Unavailable|Unavailable|Medium(60),27.243935,-80.829783,OKEECHOBEE|FL:ppl:3806@PPL|Unavailable|Low(41)",4daa5e07-d3f9-42b0-8778-7f57fbdb87ef
"sulfur creek, t37n, r8e, sec 35, skagit co., washington",united states,washington,skagit,48.6532,-121.7291,no,High(85),,"48.6532,-121.7291,37N8E35|Unavailable|Unavailable|High(85),48.482076,-121.801607,SKAGIT COUNTY|WA:cnty:53057@CNTYCNTR|Unavailable|Low(44),48.48215,-121.80227,SKAGIT COUNTY|Unavailable|Unavailable|Low(43)",2c7bf725-19dc-4aa3-a847-066446c007f0
"chinati peak, 7000 ft",united states,texas,presidio,29.953224,-104.477694,no,Low(42),,"29.953224,-104.477694,CHINATI PEAK|Unavailable|Unavailable|Low(42),29.824337,-104.605204,CHINATI|Unavailable|Unavailable|Low(37),29.824059,-104.605759,CHINATI|Unavailable|Unavailable|Low(37)",b109589d-b636-4939-a579-d5f2042f6346
south canyon area,united states,colorado,mesa county,37.587223,-107.364499,no,Low(42),,"37.587223,-107.364499,SOUTH CANYON|Unavailable|Unavailable|Low(42),39.444976,-108.953162,SOUTH CANYON|Unavailable|Unavailable|Low(42),37.618903,-103.590224,SOUTH CANYON|Unavailable|Unavailable|Low(42),37.728623,-104.177467,SOUTH CANYON|Unavailable|Unavailable|Low(42)",ebb5cec8-2799-410f-afb1-5f2b03d763be
greystone,united states,colorado,moffat county,40.60941,-108.673997,no,High(84),,"40.60941,-108.673997,GREYSTONE|Unavailable|Unavailable|High(84)",e8cfd1b2-4838-4cce-9bf3-6a0fec3cb3a9
mack,united states,colorado,mesa county,39.223869,-108.865104,no,High(79),,"39.223869,-108.865104,MACK|Unavailable|Unavailable|High(79)",d394f3ff-2f51-479f-b745-89db1d2f1d47
montevideo,uruguay,,,-34.858056,-56.170833,no,High(85),,"-34.858056,-56.170833,MONTEVIDEO|Unavailable|Unavailable|High(85),-34.865278,-56.181944,MONTEVIDEO|Unavailable|Unavailable|High(85)",bfad814c-0bb8-4203-9374-b37ddf8be40f
"jug gulch, 12 miles nw of loveland",united states,colorado,larimer county,40.520625,-105.236459,no,High(84),,"40.520625,-105.236459,Distance NorthWest of LOVELAND|CO:ppl:2902@PPL@12@315|Unavailable|High(84),40.471094,-105.295544,JUG GULCH|Unavailable|Unavailable|Low(39)",9a1e7f25-a8f4-4fcd-bb50-4ef0fd12f241
near mack,united states,colorado,mesa county,39.223869,-108.865104,no,Medium(49),,"39.223869,-108.865104,Near MACK|Unavailable|Unavailable|Medium(49)",12445968-65d8-4518-b771-4d8b8fe88c63
"west indian creek, la veta",united states,colorado,costilla county,37.461126,-105.34345,no,Low(59),,"37.461126,-105.34345,WEST INDIAN CREEK->snapped to West Indian Creek|Unavailable|Unavailable|Low(59)",211fb906-258f-4a9b-80be-6ee38b3c7b56
near greystone,united states,colorado,moffat county,40.60941,-108.673997,no,Medium(54),,"40.60941,-108.673997,Near GREYSTONE|Unavailable|Unavailable|Medium(54)",22bce5fd-8d6a-4e67-aa87-9c01f0c6d004
near clifton,united states,colorado,mesa county,39.091926,-108.448978,no,Medium(53),,"39.091926,-108.448978,Near CLIFTON|CO:ppl:2755@PPL|Unavailable|Medium(53)",5e14c075-7297-4f03-9dd5-5494af63babe
8 miles s of paradox,united states,colorado,montrose county,38.252339,-108.962328,no,High(82),,"38.252339,-108.962328,Distance South of PARADOX|Unavailable|Unavailable|High(82)",ab2328d9-450f-4364-bd19-d5c36f511d91
head of little echo canon on west spanish peak,united states,colorado,huerfano county,37.37557,-104.99361,no,Low(47),,"37.37557,-104.99361,WEST SPANISH PEAK|Unavailable|Unavailable|Low(47)",86859de0-1b8d-40b9-8d31-c30a93eb90d9
2.5 miles s of basalt,united states,colorado,pitkin county,39.332634,-107.032824,no,High(82),,"39.332634,-107.032824,Distance South of BASALT|CO:ppl:2713@PPL@2.5@180|Unavailable|High(82)",76529ef9-ba15-4fd1-9372-c19ad22d6eaa
near parshall,united states,colorado,grand county,40.05693,-106.175302,no,Medium(53),,"40.05693,-106.175302,Near PARSHALL|Unavailable|Unavailable|Medium(53)",5a14e72e-f03c-4a4a-b9b8-7828904dfce3
"monitor canyon, near delta",united states,colorado,montrose county,38.742206,-108.068958,no,Medium(51),,"38.742206,-108.068958,Near DELTA|CO:ppl:2779@PPL|Unavailable|Medium(51)",934ff5cf-28d8-4614-b813-ad92caaf3ccf
"rifle creek, (near new castle?)",united states,colorado,garfield county,39.571041,-107.76173,no,Medium(59),,"39.571041,-107.76173,Near NEW CASTLE->snapped to Rifle Creek|CO:ppl:2926@PPL@11.999055521406@-90.494891154435|Unavailable|Medium(59),39.53015,-107.788695,RIFLE CREEK->snapped to Rifle Creek|Unavailable|Unavailable|Low(53),39.534706,-107.78559,RIFLE->snapped to Rifle Creek|CO:ppl:2970@PPL@0.131630975529595@-89.8879375184798|Unavailable|Low(48)",98df55ec-41db-4904-a334-acf3110df3d0
"stephen's canyon, 12 miles n of durango",united states,colorado,la plata county,37.449288,-107.880067,no,High(83),,"37.449288,-107.880067,Distance North of DURANGO|CO:ppl:2787@PPL@12@0|Unavailable|High(83)",9d561bf6-86fd-4f8a-9c44-35b543655cbb
near hooper,united states,colorado,alamosa county,37.742778,-105.875299,no,Medium(52),,"37.742778,-105.875299,Near HOOPER|CO:ppl:2857@PPL|Unavailable|Medium(52)",c3534ec8-0638-495f-81fe-1a3094ab4487
"boulder creek, ferry co., washington",united states,washington,ferry,48.838045,-118.181146,no,Low(55),,"48.838045,-118.181146,BOULDER CREEK->snapped to Boulder Creek|Unavailable|Unavailable|Low(55),48.818173,-118.217259,FERRY COUNTY->snapped to Boulder Creek|WA:cnty:53019@CNTYCNTR@27.6578735034906@29.4962115875015|Unavailable|Low(46),48.818173,-118.217259,FERRY COUNTY->snapped to Boulder Creek|Unavailable|Unavailable|Low(45),48.818173,-118.217259,FERRY->snapped to Boulder Creek|Unavailable|Unavailable|Low(38)",3cdb558c-a637-4a57-ac21-bb52c0d61635
el limon,mexico,oaxaca,tehuantepec,16.916667,-97.9,no,High(83),,"16.916667,-97.9,EL LIMON|Unavailable|Unavailable|High(83),17.808889,-98.03,EL LIMON|Unavailable|Unavailable|High(83),15.932117,-95.775885,EL LIMON|Unavailable|Unavailable|High(83),16.313002,-95.447851,EL LIMON|Unavailable|Unavailable|High(83),16.316667,-97.033333,EL LIMON|Unavailable|Unavailable|High(83),18.242392,-97.801782,EL LIMON|Unavailable|Unavailable|High(83),16.416389,-95.5625,EL LIMON|Unavailable|Unavailable|High(83),16.514472,-98.126582,LIMON|Unavailable|Unavailable|Low(35),15.932117,-95.775885,LIMON|Unavailable|Unavailable|Low(35),16.5,-97.283333,LIMON|Unavailable|Unavailable|Low(35),15.833333,-96.583333,LIMON|Unavailable|Unavailable|Low(35),16.916667,-97.9,LIMON|Unavailable|Unavailable|Low(35),16.133333,-95.6,LIMON|Unavailable|Unavailable|Low(35)",5812bb7f-e099-4767-b07f-294913a68b58
near barela,united states,colorado,las animas county,37.115576,-104.261646,no,Medium(51),,"37.115576,-104.261646,Near BARELA|Unavailable|Unavailable|Medium(51)",fbdb67cb-5717-47e1-b434-77ac6f20be51
cache la poudre valley,united states,colorado,weld county,40.244147,-103.964394,no,Low(36),,"40.244147,-103.964394,VALLEY|Unavailable|Unavailable|Low(36)",b93bd531-46f5-40c4-9bbe-7dff7f3eeb6d
"1135 ogden street, denver",united states,colorado,denver county,39.739154,-104.984703,no,Low(37),,"39.739154,-104.984703,DENVER|CO:ppl:2780@PPL|Unavailable|Low(37)",e6aa1850-4aee-4473-9953-ebc14c587ca7
"12 miles sw of sargents, head of long brameck gulch",united states,colorado,saguache county,38.28104,-106.57201,no,High(83),,"38.28104,-106.57201,Distance SouthWest of SARGENTS|Unavailable|Unavailable|High(83)",531a277e-c022-4dab-97d8-1afe0a4bba8a
4 miles nw of sulphur springs,united states,colorado,grand county,40.142078,-106.316676,no,High(76),,"40.142078,-106.316676,Distance NorthWest of SULPHUR SPRING|Unavailable|Unavailable|High(76)",a112c21f-93d9-4829-ac95-fa7f0d3771b3
"powell plateau, grand canyon national park",united states,arizona,coconino county,36.186545,-112.185254,no,Low(56),,"36.186545,-112.185254,GRAND CANYON NATIONAL PARK|Unavailable|Unavailable|Low(56),36.297481,-112.394346,POWELL PLATEAU|Unavailable|Unavailable|Low(44),36.054427,-112.139336,GRAND CANYON|Unavailable|Unavailable|Low(42)",edac081b-c97e-4222-ae3b-66167a4b377e
"rancho mariposa, 27 mi ne muzquiz",mexico,coahuila,,28.96019,-100.183997,no,High(82),,"28.96019,-100.183997,Distance NorthEast of MUZQUIZ|Unavailable|Unavailable|High(82),28.143569,-101.186373,Distance NorthEast of MUZQUIZ|Unavailable|Unavailable|High(82),28.156232,-101.202484,Distance NorthEast of MUZQUIZ|Unavailable|Unavailable|High(82),26.866667,-104.083333,MARIPOSA|Unavailable|Unavailable|Low(38),26.983333,-104.183333,MARIPOSA|Unavailable|Unavailable|Low(38),25.666947,-100.766616,MARIPOSA|Unavailable|Unavailable|Low(38),28.151222,-101.753991,MARIPOSA|Unavailable|Unavailable|Low(38),27.178811,-101.742611,MARIPOSA|Unavailable|Unavailable|Low(38),32.466667,-114.816667,MARIPOSA|Unavailable|Unavailable|Low(38),30.916667,-108.65,RANCHO|Unavailable|Unavailable|Low(36),23.7,-105.816667,RANCHO|Unavailable|Unavailable|Low(36),26.933333,-105.766667,RANCHO|Unavailable|Unavailable|Low(36),17.966667,-100.616667,RANCHO|Unavailable|Unavailable|Low(36),25.616667,-108.633333,RANCHO|Unavailable|Unavailable|Low(36),27.4,-108.733333,RANCHO|Unavailable|Unavailable|Low(36),29.95,-107.55,RANCHO|Unavailable|Unavailable|Low(36),27.783333,-102.45,RANCHO|Unavailable|Unavailable|Low(36),25.75,-111.983333,RANCHO|Unavailable|Unavailable|Low(36),28.366667,-100.316667,RANCHO|Unavailable|Unavailable|Low(36),28.216667,-113.233333,RANCHO|Unavailable|Unavailable|Low(36),25.483333,-111.983333,RANCHO|Unavailable|Unavailable|Low(36),32.566667,-116.366667,RANCHO|Unavailable|Unavailable|Low(36),28.516667,-113.75,RANCHO|Unavailable|Unavailable|Low(36),24.916667,-111.033333,RANCHO|Unavailable|Unavailable|Low(36),26.15,-112.25,RANCHO|Unavailable|Unavailable|Low(36),30.233333,-105.25,RANCHO|Unavailable|Unavailable|Low(36)",fabdcf2d-19f6-4c2d-8d85-2c704147a7dd
los mazos,mexico,jalisco,tuxpan,19.57287,-103.513777,no,High(84),,"19.57287,-103.513777,LOS MAZOS|Unavailable|Unavailable|High(84)",432bf363-0b24-4e1d-9f0c-4b4e450787db
"stevens co., washington",united states,washington,stevens,48.399068,-117.855154,no,Low(45),,"48.399068,-117.855154,STEVENS COUNTY|WA:cnty:53065@CNTYCNTR|Unavailable|Low(45),48.399064,-117.855137,STEVENS COUNTY|Unavailable|Unavailable|Low(44)",45686c33-1c5e-4bf9-879c-d32c67b8d1ba
