locality,country,stateprovince,county,latitude,longitude,correction status,precision,error polygon,multiple results,uuid
soto la marina,mexico,tamaulipas,,,,,,,,fbc52334-51b9-46e7-89a8-a07d27c73a53
raymondsville,united states,texas,,,,,,,,5995993d-7c6f-4ac1-8eaa-82e18dff7434
perez,mexico,veracruz,,,,,,,,677515ad-8834-4c24-8c04-ae9b45b972bf
acapulco,mexico,guerrero,,,,,,,,91bee87c-f07b-4ce4-849c-8d63719eaced
la esperanza,nicaragua,rio san juan,,,,,,,,3a7e865c-9a11-4694-a2eb-836c43ec1262
near caguazu,paraguay,,,,,,,,,81219633-3b01-40f0-9a3b-31d8def4d003
medina,colombia,,,,,,,,,905c5e2d-9c0a-4bc8-b047-addb3750dbdf
coyuca,mexico,guerrero,,,,,,,,3797aa97-0324-4a3c-8207-6a0f91bf854f
"charco del toro, rio maje",panama,panama,,,,,,,,3afb6333-ef86-4331-8844-e4f9cd751492
"angleton, 17 mi nw",united states,texas,,,,,,,,f63c493d-8e44-4fd0-98c6-ebdeca978276
catemaco,mexico,veracruz,,,,,,,,1711623c-52ff-4cf3-a63b-98515adbf18d
coyuca,mexico,guerrero,,,,,,,,a5db328f-1834-4f89-bea5-8f09e9241796
coyuca,mexico,guerrero,,,,,,,,e6439e2b-6f75-4589-9da9-cf9d9413c327
acapulco,mexico,guerrero,,,,,,,,b73b1cdc-166f-4438-8a57-d5bf9406463d
catemaco,mexico,veracruz,,,,,,,,d0d950ff-9269-4489-aab2-c0698f5ef70e
pufra,ecuador,,,,,,,,,f0a104c3-d332-4ba0-8720-18ea6124033d
quito,ecuador,,,,,,,,,0635e07b-0b30-45f1-9a14-a2289b4627db
perez,mexico,veracruz,,,,,,,,bb858448-45f1-4a70-a77c-9015fdfcb825
soto la marina,mexico,tamaulipas,,,,,,,,b44881dc-a78c-4548-95c6-13b11ec57d99
puerto angel,mexico,oaxaca,,,,,,,,039b4c3f-5924-4141-b676-158de512078c
huilotepec,mexico,oaxaca,,,,,,,,065dfdc1-93bd-4aa3-bd12-092533c88cbe
salud,panama,colon,,,,,,,,096a1b13-cbde-42fb-9adb-e71e7edb63c0
tonala,mexico,chiapas/vera cruz,,,,,,,,a084e2e2-e1ef-471d-8fe1-facfb76ddef5
tonala,mexico,chiapas/vera cruz,,,,,,,,c6941c36-fe5e-4534-bad9-59b800c6e687
"canal zone, gamboa",panama,,,,,,,,,32dffca3-fbc3-4a01-be0e-9e04f4bbf89b
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,55b0c8f3-e675-4cfa-b438-3cd6b768dca6
s of cerro leon,paraguay,,,,,,,,,05d03460-e3d6-4de3-9b2b-f1c72a1ecf48
santa ana,peru,cusco,,,,,,,,fa0dc96b-31f6-4922-aca6-7bbf14eb0bd9
januaria,brazil,,,,,,,,,12d67a4e-c278-4203-afc5-b9c57cc21cf4
tonala,mexico,chiapas/vera cruz,,,,,,,,7314bcb2-4da1-4734-a271-f7e72e067d80
"canal zone, near gamboa",panama,,,,,,,,,4bf33459-4735-4c47-bb2f-f599e06628cd
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,2c0e6285-9d66-4720-87f5-3b04e5a9dd4f
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,40f91f0f-609c-4151-bc35-618888f0d716
boquete [verbatim elevation:4000],panama,,,,,,,,,8484d1d7-d52d-4d7c-9137-dfc4031e2bc7
tonala,mexico,chiapas/vera cruz,,,,,,,,f2d0bead-9180-46d3-ade0-43d291cbfe64
kuitaro river,guyana,,,,,,,,,8239246a-b441-4baa-8e22-fc9cc50d375d
limoncocha,ecuador,napo,,,,,,,,ca31dd38-022d-4fe3-8aea-8184696560b3
"61 mi se pucallpa, 500 ft",peru,loreto,,,,,,,,a890ca95-7116-42e7-bef9-b66a41b99cc0
sarare,colombia,,,,,,,,,99918ace-5445-45ee-af5d-fafe5b810fcf
tonala,mexico,chiapas/vera cruz,,,,,,,,49d5cce0-8905-4c62-b011-c9bb3d92c8aa
sarare,colombia,,,,,,,,,4008e6cc-1d57-49eb-b885-c2cd2594e9f2
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,7dcae022-514d-46b7-9bb9-585bde102e96
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,7e0e4ef5-d2d4-4f5a-a4fc-1d478b3e903e
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,0e1e2750-bfb0-432c-b1b9-fb05597a6faa
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,6341fab9-25ff-4f75-bdaa-d42abf07d854
near paramaribo,suriname,,,,,,,,,483a5a32-fa6c-41f7-beb2-c1e7b621ed03
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,fedf57e8-d622-48e4-b5b6-5fafe78471f3
talamanca,costa rica,limon,,,,,,,,6641cf10-8e85-420e-81b2-2e1ada55cd72
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,3f810ec9-6641-4730-9142-76366687192d
tonala,mexico,chiapas/vera cruz,,,,,,,,50e61acb-8ef5-40ee-a3d5-c8e665db3e10
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,1e324c61-bcb2-4ec4-8092-b7b9562d46c0
s of limoncocha; limoncocha,ecuador,napo,,,,,,,,5a4dd516-2671-46a0-ac25-7cbbfacb6f8b
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,fd752705-2929-4ad9-a2b7-b79fb52099b6
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,19adeb6b-7e14-4142-8c33-641194e2a0b5
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,473baf38-fc65-4ace-bf9e-311810b6b920
demerara,guyana,,,,,,,,,06d444c5-a785-4aac-9d61-b83289b41280
tonala,mexico,chiapas/vera cruz,,,,,,,,1a4c60ae-6a09-4ad9-b35c-7bd3edb4ce6f
rupununi,guyana,,,,,,,,,4eacecc7-6449-4990-9968-fa9113c46533
brownsville,united states,texas,,,,,,,,700929a7-ec24-48df-9b40-e650f88a26b0
"77 km nw madreion, 31 km n on line 6",paraguay,,,,,,,,,79d86d4f-4d95-4d12-95e7-d82fbc6a73ec
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,cc16fb4a-40db-4a5c-be96-c91b5228a1e4
cosemba,brazil,,,,,,,,,b42420e5-c284-4dc2-ac10-d3322ae4af55
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,0044b9bc-4d1d-4782-a2f1-1db465151e14
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,038afc97-6c17-4540-a5d2-a288fbeb0b64
frijoles,panama,canal zone,,,,,,,,e1518a34-180a-41db-a7bb-5d0b1bdf31e8
kuitaro river,guyana,,,,,,,,,eed362e4-41a3-426a-a70b-2bec8be4ecb9
rio guaimaral,colombia,cesar,valledupar district,,,,,,,7420571a-8284-4449-9ca5-2eece504ee4b
rupununi,guyana,,,,,,,,,4373401e-de47-4b7b-b138-87e9264f3ec4
turrialba,costa rica,,,,,,,,,94275336-f3b5-41b1-a02e-f1c73df6d345
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,7e304e3c-db63-42d1-9400-6efefa5e501d
"king ranch, norias division",united states,texas,kenedy,,,,,,,ae255d66-ba58-4e74-951e-67b285dfaaa0
sarare,colombia,,,,,,,,,14ff6462-3e11-4f20-8f93-fa7cfee18e72
tonala,mexico,chiapas/vera cruz,,,,,,,,5994fd43-e38e-4b6e-b960-cff8ab78931a
"canal zone, atlantic side",panama,,,,,,,,,a251491f-6d54-411b-a9d0-a8955c9f7814
tonala,mexico,chiapas/vera cruz,,,,,,,,c685ac8e-ac3a-4d08-8eda-6ee4a5bc3256
brownsville,united states,texas,,,,,,,,ef82c66b-413b-4f2f-8564-d6d599fc9c1f
balfate,honduras,colon,balfate,,,,,,,a2d3fab4-58dd-4154-b0b6-6db94e872661
estrella valley,costa rica,,,,,,,,,6e144c7d-c15b-4fc9-8803-48b4b2b77086
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,20051c84-31f4-40b8-a061-77811af287cd
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,78f8ff02-9d64-49cf-b26b-57506e96d682
turrialba,costa rica,,,,,,,,,9109e083-e0bb-47a2-bfdc-766ffece15ac
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,bceffb56-e235-4e76-b2e6-1f7f34e100be
laguna atascosa national wildlife refuge,united states,texas,cameron,,,,,,,ca5dc66e-d19f-48da-8781-cc80f0cf79a6
tapajos river,brazil,para,santarem,,,,,,,9bc523c4-1664-43b4-8d80-7eecafa1c2d3
matamoras,mexico,tamaulipas,,,,,,,,a19fb089-a3c7-4506-9857-10d4e1ffec74
matamoras,mexico,tamaulipas,,,,,,,,42636c7e-74f0-45aa-8157-c5969c1d9d42
talamanca,costa rica,limon,,,,,,,,f5515ac6-7ce9-4275-bc31-8af24132c935
matamoras,mexico,tamaulipas,,,,,,,,17f5ee68-8752-4229-8beb-a1113740e4e8
matamoras,mexico,tamaulipas,,,,,,,,748d61b8-8dbb-48e9-9ac4-7b2b4ce142ac
indian territory,united states,oklahoma,texas,,,,,,,79863c4a-8d12-482c-bf75-4af021ff0064
matamoras,mexico,tamaulipas,,,,,,,,6b12cf26-bc31-4a09-bbc5-c0096bd0dd5f
"monte alegre, pachitea river",peru,huanuco,pachitea,,,,,,,dbb28ed1-4a31-4514-8139-32cc44eeccb2
orizaba (vera cruz),mexico,,,,,,,,,c6b0b9f4-9355-4fe7-8002-e307221b13e5
talamanca,costa rica,limon,,,,,,,,fdd6efec-7988-4df6-9f39-1398b3c38391
libertad,guatemala,peten,,,,,,,,31659eb1-10eb-40d2-a3d2-4fe1badcc5eb
rio gatuncia,panama,,,,,,,,,813be49b-e0c7-40a3-b168-63d17ed48cf4
dadanawa ranch,guyana,upper takutu-upper essequibo,,,,,,,,d1d1c967-6fca-44b3-b1e6-509887966781
libertad,guatemala,peten,,,,,,,,c84f8274-9daf-4b49-80b5-22ced71acb15
iquitos,peru,loreto,maynas,,,,,,,bb17290a-7fee-4c43-aab4-e4c8ae2d9c4b
mirador,mexico,veracruz,,,,,,,,25e3b774-6bcd-45c2-b3a3-e93de6ccb943
matamoras,mexico,tamaulipas,,,,,,,,a434c903-199d-4eab-985a-9054c1aaf462
rio jaque,panama,darien,,,,,,,,3d32afda-43b2-448f-bf37-28d671e4f49f
matamoras,mexico,tamaulipas,,,,,,,,64c4e283-2dd8-4dfc-9040-57f57c11416d
orizaba (vera cruz),mexico,,,,,,,,,37c9cf9e-1dee-4ac0-9997-4f144fa29a9b
iquitos,peru,loreto,maynas,,,,,,,9bd91199-4497-4dc8-b5e9-206ece27a51a
near rio joaquin,bolivia,s. central itenez,beni,,,,,,,b7ac555b-fee9-4428-8afa-4fa27aa22a20
"cacoprieto, orizaba (vera cruz)",mexico,,,,,,,,,5ddf2023-277e-44fa-afd4-692c9ff94670
talamanca,costa rica,limon,,,,,,,,7401f168-97d7-4ccd-a7fc-18580984f9f3
iquitos,peru,loreto,maynas,,,,,,,570c2875-6286-4fb4-9423-c5dc085695c7
limoncocha,ecuador,napo,,,,,,,,63b6c875-2cbc-4512-86d7-fc40b0c44210
armila,panama,san blas,,,,,,,,8dc87357-16cb-4b4e-9cd6-9ae0c2c38ecd
dadanawa,guyana,upper takutu-upper essequibo,,,,,,,,e7674fc6-7840-427c-ab98-f16e2c8d0d77
matamoras,mexico,tamaulipas,,,,,,,,4de75d74-e5d5-42a2-88ff-60365de837f2
"dadanawa ranch, 30 mi e",guyana,upper takutu-upper essequibo,,,,,,,,e9be5638-a0ee-45f6-b3fd-5830941f2ef8
actun jih,mexico,yucatán,,,,,,,,ee5d3fbe-a5a3-4e14-a72c-ebeec182ebf6
talamanca,costa rica,limon,,,,,,,,9af08d0b-52dc-4ab9-bf2a-0152d4292367
actun spukil,mexico,yucatan,opichen,,,,,,,d94c7b51-5854-489b-ab4e-61af4507a340
matamoras,mexico,tamaulipas,,,,,,,,c604bf5e-d33d-41bd-983b-5a498d93a6e8
talamanca,costa rica,limon,,,,,,,,3286947b-455e-40f7-bf07-a1da0a99bc9f
eagle pass,united states,texas,,,,,,,,dff6481e-78b9-4bfd-b47b-917abbd65f2b
libertad,guatemala,peten,,,,,,,,c992ceaf-90b3-488a-aebd-f4519563e155
iquitos,peru,loreto,maynas,,,,,,,5d8d73c0-597f-4b37-a3b3-39dd952b16b5
talamanca,costa rica,,,,,,,,,794ab91c-cc8a-450a-9716-69c2d438b5d1
rupununi district,guyana,,,,,,,,,2bb545dc-d75c-4aed-84cf-9afb06612355
upper ucayali river,peru,loreto,,,,,,,,5dc5fcf3-8393-403d-9b89-a13c3c5848e7
rio negro,brazil,,,,,,,,,3d500693-3e19-47e0-add6-5b4b74e36225
talamanca,costa rica,,,,,,,,,2359c95b-1bdc-4e95-9d7a-b099effeb309
talamanca,costa rica,,,,,,,,,9a1edc43-31ce-4418-81f8-56bbb9019fbd
km 586 on trans-chaco highway; copagro,paraguay,boquerón,,,,,,,,7b806843-fa3b-4859-9137-ce44e5570550
"san luis de caceres, sw",brazil,,,,,,,,,6bbf368b-d021-4cac-8a1c-384f8daf6605
matamoras,mexico,tamaulipas,,,,,,,,54b47245-af2b-4a80-939a-d767d09ad368
chinandega,nicaragua,,,,,,,,,cb54b0ff-c451-435d-be3b-2f54aea87d75
upper ucayali river,peru,loreto,,,,,,,,deb63b7d-6271-4dde-88df-eb80b7f04f18
pacific side of costa rica,costa rica,,,,,,,,,8f6acdd2-65d6-4f7c-be1f-0dffc48f928a
kuitaro river,guyana,,,,,,,,,57b59502-ad63-4db8-8248-f2ac20a35655
upper ucayali river,peru,loreto,,,,,,,,9f73d4e0-e3f9-4c21-9997-32a7aeffbf74
isthmus of darien,panama,,,,,,,,,0b8972cb-3cdf-41e9-8e93-b6b7d67978a2
copagro,paraguay,boquerón,,,,,,,,29a0e10f-4197-40a0-8433-ec26f3340e29
rupununi river forest,guyana,,,,,,,,,5f5e6158-beb0-458b-8fea-d4ba8e2574c9
"kuitaro river, tributary of lower rupununi river",guyana,,,,,,,,,879e3f47-d02c-4f71-b38e-55e60fe0fbcc
napo river,peru,loreto,,,,,,,,b5323e06-807d-4fd1-9f3e-4177cc8eaff0
talamanca,costa rica,,,,,,,,,bae95003-2f0b-46d9-b457-6debb80dd542
talamanca,costa rica,,,,,,,,,09b16d12-4703-4eaa-b1b1-f831853512a3
kuitaro river,guyana,,,,,,,,,8fc6c051-9f43-461e-85dd-97c28bd4b30e
porto lorenzo,colombia,,,,,,,,,a359a3e7-abe5-4120-acac-e52b332b1b04
trinidad (?),trinidad and tobago,,,,,,,,,0add5754-4825-40d7-ad0a-dec32c2ec85f
ecuador,ecuador,,,,,,,,,d78b1e29-65e3-4fce-a92a-f1213cf38dd9
ecuador,ecuador,,,,,,,,,6ac63e61-ec04-453c-a8de-27a30737c8f9
"sydamerika, montevideo",uruguay,,,,,,,,,d00e2394-2598-4187-a4c1-4068133b7378
callao; nueva providencia; yuruari river (tributary of cyuni river),venezuela,,,,,,,,,42517d46-0ffd-4ff3-9d54-a7ab271a106e
texas,united states,,,,,,,,,4b993d94-1b32-4280-a8c5-925ef359cee9
vicinity of the canal zone,panama,,,,,,,,,166f398e-fc1d-4dc9-b323-291cd9fa76e1
"ecuador, near  ? , 2.500 feet",ecuador,,,,,,,,,29b3d1af-1245-4bbc-a368-11a2ade55c5c
south america,south america,,,,,,,,,a54f5ae9-02ea-42c1-8d1e-213aa34096f8
"ecuador, near  ? , 2.500 feet",ecuador,,,,,,,,,ed161121-1a6f-43eb-a4b9-0311838ec348
carthagène,colombie,,,,,,,,,d37afd41-be6d-4ac3-8ee7-ca82605dc211
brasil,brazil,,,,,,,,,73645bc9-b26f-404f-ace0-af1900a5b804
brasil,brazil,,,,,,,,,eb5c8e42-b640-46ac-b14f-91a18753751c
puerto maldonado,peru,tambopata province,,,,,,,,d2bdd514-7683-4d78-9c33-cc5c6e5fe211
saint-jean-du-maroni,guyane française,,,,,,,,,b8ec8fa7-6c79-4253-82f5-5754590d9b6c
pernambuco,brésil,,,,,,,,,dc7d558f-b1fe-4cd0-bd40-d86996bad7e4
oyapock,guyane française,,,,,,,,,c717336d-4305-4ea6-ad99-5509c461684d
bogota,colombie,,,,,,,,,3c8bbf7a-ae6a-4f13-8e79-26f023bffceb
